id,subsystem,priority,title,requirement,depends_on,theorem,acceptance_test,status
ZS-METRIC-008,Accounting / Pareto,P1,Compression-dividend budget,Expose verified savings that may fund extra candidates/tests/proofs/reasoning without exceeding baseline resource vector.,ZS-METRIC-004,Pareto: Compression-Dividend Reinvestment,Augmentation scheduler refuses componentwise budget violation; strict rescue remains separately certified.,Not implemented / audit required
ZS-METRIC-009,Accounting / Pareto,P2,Capability asset lifetime ledger,"Track capture/proof cost, reuse count, saved work, maintenance, invalidation hazard, strict rescue, and retirement decision.",ZS-METRIC-001,Pareto: Capability-Asset Lifetime Value,Assets with negative measured expected lifetime value are demoted/retired; invalid assets lose authority immediately.,Not implemented / audit required
ZS-CAP-001,Verified capability,P1,Episode capture,"After a successful task, propose exact evidence plans, causal lenses, operators, tests, failure syndromes, and decision capsules with source episode roots.",ZS-KERNEL-003,Harness: Verified backend learning,Captured artifact is nonauthoritative until separately proved.,Not implemented / audit required
ZS-CAP-002,Verified capability,P1,Scope and precondition proof,"Bind every capability to repository/contract roots, explicit preconditions, reads, writes, postconditions, verifier, rollback, and invalidation dependencies.","ZS-CAP-001,ZS-GRAPH-002",Core: Stable-View Sufficiency,Similar but out-of-scope task does not match; changed dependency invalidates capability.,Not implemented / audit required
ZS-CAP-003,Verified capability,P1,Shadow-mode promotion,Evaluate proposed capabilities alongside baseline before granting execution authority; require no protected regression under declared release gate.,"ZS-CAP-002,ZS-METRIC-002",Pareto: capability/nonregression,"Promotion report includes misses, regressions, strict rescues, and complete cost.",Not implemented / audit required
ZS-CAP-004,Verified capability,P1,Failure syndrome store,Retain proven-invalid approaches under exact domain/scope and use them only to prune branches covered by the proof.,ZS-CAP-001,Negative-transfer firewall principle,Out-of-scope syndrome cannot suppress candidate; in-scope invalid candidate is rejected with evidence.,Not implemented / audit required
ZS-CAP-005,Verified capability,P2,Revocation/revalidation,"Invalidate assets on dependency, contract, verifier, epoch, or policy changes; permit audit storage but remove execution authority until revalidated.",ZS-CAP-002,Q99: Lease-Revocation Safety,Expired/revoked asset increases cost but cannot worsen protected result.,Not implemented / audit required
ZS-SEC-001,Security,P0,Sandbox confinement,"Enforce filesystem namespace, process, network, environment, secret, device, and resource policies. Root all allowed external fixtures.",ZS-STORE-004,Systems premise,"Adversarial symlink, path traversal, subprocess, socket, environment, and secret-access tests fail closed.",Not implemented / audit required
ZS-SEC-002,Security,P0,Receipt and object poisoning defense,"Verify roots, formation, producer, protected scope, and canonical encoding before cache reuse. When multi-tenant operation is enabled, additionally bind and verify tenant identity.","ZS-KERNEL-003,ZS-STORE-001,ZS-CONTRACT-004",Q99: Causal Cache Soundness,Poisoned object/key and metadata tampering are rejected; cross-tenant substitution is additionally rejected when multi-tenant mode is enabled.,Not implemented / audit required
ZS-SEC-003,Security,P0,Authority replay protection,"Use nonces, expiry, root/epoch binding, single-use or monotone commit semantics, and audit trail.",ZS-VERIFY-005,Q99: Lease-Revocation Safety,"Captured authority cannot be replayed after commit, rollback, branch switch, or epoch change.",Not implemented / audit required
ZS-SEC-004,Security,P1,Secret-safe rendering and logs,Redact or reference secrets before model-visible rendering and public traces while retaining verifiable private receipts under policy.,"ZS-VIEW-004,ZS-KERNEL-006",Systems premise,"Secret fixtures never appear in provider prompt, UI export, benchmark trace, or error string.",Not implemented / audit required
ZS-OPS-001,Operations,P0,Crash recovery,"Replay authoritative log, reconcile in-flight sandboxes/leases, and either complete a previously committed transaction or restore no-authority state.","ZS-KERNEL-006,ZS-KERNEL-008",Runtime refinement,Kill/restart at every lifecycle state passes deterministic recovery fixtures.,Not implemented / audit required
ZS-OPS-002,Operations,P1,Concurrency control,"Support concurrent reads, branches, index updates, and candidates with snapshot isolation and root/epoch CAS at authority.","ZS-STORE-006,ZS-SESSION-003",Harness: Atomic No-Partial-Authority,Race tests preserve serializable authoritative roots; stale readers are explicit.,Not implemented / audit required
ZS-OPS-003,Operations,P1,Observability and trace export,"Export privacy-safe rooted traces, decision-boundary annotations, cache events, invalidation reasons, verification outcomes, and resource ledgers.","ZS-KERNEL-006,ZS-METRIC-001",Evaluation paper,Every benchmark result is reproducible from sealed manifests/ledgers or marked nonreproducible.,Not implemented / audit required
ZS-OPS-004,Operations,P1,Schema and object migration,Migrate semantic objects through explicit deterministic transformations with old/new roots and validation receipts; retain compatibility or fail closed.,ZS-KERNEL-007,Core: semantic factorization,Migration round trip/golden fixtures preserve meaning and invalidate only renderer/contract layers required.,Not implemented / audit required
ZS-OPS-005,Operations,P2,Distributed worker trust,"Treat workers as untrusted producers: accept outputs only after root, formation, sandbox, and verifier checks.","ZS-KERNEL-003,ZS-VERIFY-001",Proof-carrying producer/checker pattern,Malicious worker output cannot acquire cache or commit authority.,Not implemented / audit required
ZS-BENCH-001,Benchmarks,P0,Task manifest schema,"Publish machine-readable manifests for explanation, refactor, port, and greenfield tasks with protected criteria and meter scope.",ZS-CONTRACT-001,Evaluation paper,Schema validation and root sealing pass for every released task.,Not implemented / audit required
ZS-BENCH-002,Benchmarks,P0,Decision-boundary annotation,Double-annotate baseline traces into semantic decisions and mechanical segments using a blinded rubric.,ZS-EXEC-001,Core: Decision-Boundary Compression,Inter-annotator agreement and adjudications are published; one/two-call claims match irreducible count.,Not implemented / audit required
ZS-BENCH-003,Benchmarks,P0,Prefix policy trial,"Compare raw-retained, retrospective-rewrite, and stable-capsule append-only histories under fixed provider prefix variables.","ZS-VIEW-005,ZS-CACHE-002",Q99: rewrite/crossover/prefix immunity,"Report LCP, cached/uncached/write tokens, cost, latency, quality, expansions.",Not implemented / audit required
ZS-BENCH-004,Benchmarks,P0,Causal invalidation trial,"Inject leaf, central, semantic-no-op, toolchain, environment, and branch changes; measure invalidated/recomputed mass and soundness. Record early-cutoff mass when the optional early-cutoff subsystem is enabled.",ZS-GRAPH-006,Q99 causal theorem family,No stale reuse; blast radius matches complete dependency model.,Not implemented / audit required
ZS-BENCH-005,Benchmarks,P0,Provider-miss insulation trial,"Warm both caches, independently force provider TTL/eviction/routing/model-key misses while preserving L2, and measure rediscovery avoided.",ZS-CACHE-001,Q99: Provider-Miss Insulation,Provider miss reprocesses compact view but does not relist/reread/reindex unchanged project.,Not implemented / audit required
ZS-BENCH-006,Benchmarks,P0,Transactional fault matrix,"Inject crashes, cancellation, stale roots, undeclared effects, verifier timeout/disagreement, storage corruption, and CAS races.","ZS-KERNEL-008,ZS-SEC-001",Harness: Atomic No-Partial-Authority,Every case yields verified successor or exact no-mutation.,Not implemented / audit required
ZS-BENCH-007,Benchmarks,P1,Windowed Q99 and recovery,Measure reuse across sliding windows and time/work-to-Q99 after controlled changes.,"ZS-CACHE-004,ZS-CACHE-005",Q99: Q99 Restoration Threshold,Reports impossibility intervals rather than averaging them away.,Not implemented / audit required
ZS-BENCH-008,Benchmarks,P1,Paired quality evaluation,"Blindly compare same-model/same-harness outputs for regression, strict rescue, factual support, test/build results, and subjective dimensions.",ZS-METRIC-002,Pareto: Same-Harness Capability Superset,Treatment cannot claim no degradation outside verifier/human scope.,Not implemented / audit required
ZS-BENCH-009,Benchmarks,P1,Release claim gate,"Automate checks for paper theorem status, current-provider fact date, citation resolution, no unsupported Q99 substitution, benchmark evidence, checksums, and negative results.",ZS-METRIC-003,Draft 5 public-release gates,Release fails when any required artifact or claim scope is absent.,Not implemented / audit required
ZS-SESSION-005,Session/continuation,P0,Durable continuation compatibility,"Bind every continuation handle to ABI, task, project, security, model/harness rendering, and epoch roots. Resolve through explicit migration or fail closed; a handle is never authority.","ZS-KERNEL-007,ZS-SESSION-001",V6: Cross-session continuation portability,"Handles survive process restart and compatible adapter changes, while stale, cross-project, incompatible-ABI, or forged handles fail without mutation.",Not implemented / audit required
ZS-ADAPTER-010,Harness adapters,P0,Stable Zero Execute surface,"Expose one small stable semantic tool surface whose schema does not change with project contents. Dynamic state is carried through rooted arguments, capsules, and continuation handles.","ZS-KERNEL-007,ZS-CONTRACT-001",V6: Stable harness surface and provider-prefix preservation,Project/index growth does not alter the registered tool schema; canonical conformance fixtures render deterministically.,Not implemented / audit required
ZS-ADAPTER-011,Harness adapters,P1,Cross-adapter semantic replay,"Replay canonical task/result vectors through at least three transports and verify equivalent protected semantic roots, cancellation, timeout, Unknown, fallback, and ledger behavior.","ZS-ADAPTER-009,ZS-ADAPTER-010,ZS-SESSION-005",V6: Harness portability,Faithful adapters differ only in declared rendering/transport fields and produce the same authoritative backend transition.,Not implemented / audit required
ZS-VIEW-010,TokenZero / decision views,P0,Decision-view completeness witness,"Every compact view must identify the protected decisions it supports, exact evidence roots, omitted classes, expansion handles, completeness grade, and baseline escape.","ZS-VIEW-003,ZS-GRAPH-005",V6: Protected decision-view sufficiency,Removing a needed evidence class causes Unknown or a failed certificate; exact expansion reproduces the bound object.,Not implemented / audit required
ZS-EXEC-007,Private composition / Code Mode,P0,Unresolved semantic decision gate,Detect observation-contingent branches not covered by a user/model contingent policy or a uniquely resolving verifier and return DecisionRequired before authority is exercised.,"ZS-EXEC-002,ZS-VIEW-010",V6: Adaptive decision-round lower bound,Injected hidden semantic branches cannot be privately selected; purely mechanical branches remain privately composable.,Not implemented / audit required
ZS-CACHE-010,Causal cache / Q99,P0,Demand-weight ledger,Record the exact demanded object closure and positive per-object demand weights for each declared Q99 coordinate and window. Denominators include misses and Unknown objects.,"ZS-CACHE-003,ZS-METRIC-001",V6: Q99 residency budget,"Q99 report is rejected when demanded objects, weights, window, tier, or validity semantics are absent or inconsistent.",Not implemented / audit required
ZS-CACHE-011,Causal cache / Q99,P1,Residency-plan proposal and verifier,"Allow heuristics/solvers to propose L3 resident sets, but independently verify capacity and retained valid demand mass before issuing a tier-specific Q99 certificate.","ZS-CACHE-010,ZS-STORE-007",V6: Causal Residency Budget Theorem,Checker accepts exactly plans within capacity retaining at least the declared threshold; optimizer and authority are separate modules.,Not implemented / audit required
ZS-CACHE-012,Causal cache / Q99,P0,Q99 eviction slack guard,"Before eviction, compute current resident valid demand mass, Q99 slack, proposed removed mass, and post-eviction certificate. Deny or compensate any eviction that violates a declared service threshold.","ZS-CACHE-010,ZS-CACHE-011",V6: Q99 Eviction Slack Theorem,Adversarial eviction just below slack passes; just above slack fails unless compensating admission restores the threshold.,Not implemented / audit required
ZS-CACHE-013,Causal cache / Q99,P0,L2-valid/L3-cold recovery,Distinguish logically valid objects from physical residency. An L3 miss fetches or deterministically rematerializes the valid L2 object without relisting/reindexing unchanged project state.,"ZS-CACHE-001,ZS-STORE-007",V6: Three-layer cache factorization,Forced local eviction preserves L2 validity and produces a measured fetch/rematerialization path rather than project rediscovery.,Not implemented / audit required
ZS-CACHE-014,Causal cache / Q99,P1,Provider-miss bounded amplification metric,"Measure baseline replay burden B, compact decision-view burden C, continuation overhead L, and complete backend work after forced provider misses; report 1-(C+L)/B only for the model-visible coordinate.","ZS-BENCH-005,ZS-METRIC-001",V6: Provider-Miss Bounded Amplification,Report includes all backend work separately and rejects the ratio when scopes or denominators differ.,Not implemented / audit required
ZS-CACHE-015,Causal cache / Q99,P1,Cross-session and branch deduplication,"Reuse exact L2 objects across sessions, branches, and faithful harness adapters by canonical content/contract/dependency identity while preserving security and tenancy authorization.","ZS-KERNEL-002,ZS-CACHE-001,ZS-SEC-002",V6: Content-rooted cross-session reuse,Identical roots deduplicate physically and logically; cross-tenant unauthorized resolution fails; branch labels do not fragment semantic identity.,Not implemented / audit required
ZS-METRIC-010,Accounting / Pareto,P1,Certified unavoidable-work lower bound,"Represent request, irreducible decision, protected reasoning, verification, output, and external-effect lower-bound components with scope and nonoverlap evidence.","ZS-METRIC-001,ZS-METRIC-006",V6: Certified Redundant-Gap Closure,"Closure report rejects L>Z, overlapping lower-bound components, or mismatched baseline/treatment scopes.",Not implemented / audit required
ZS-METRIC-011,Accounting / Pareto,P0,Reasoning allowance sovereignty audit,"Capture baseline and treatment reasoning settings, tool access, context escape, stopping policy, and fallback reserve. Prevent claims of no degradation when treatment removes any baseline reasoning or tool strategy.","ZS-BASE-001,ZS-BASE-002",V6: Same-harness capability superset,Changing treatment reasoning limit or disabling a native tool invalidates the no-degradation certificate.,Not implemented / audit required
ZS-BENCH-010,Benchmarks,P0,Adaptive decision-depth annotation,Blindly annotate baseline traces for genuine observation-contingent semantic decisions and compare with Zero Execute call count and hidden-segment classifications.,"ZS-BENCH-001,ZS-EXEC-007",V6: One-/two-call eligibility,Dataset records disagreements and fails any task where treatment hides an uncounted semantic decision.,Not implemented / audit required
ZS-BENCH-011,Benchmarks,P1,Residency capacity/Q99 curve,"Measure minimum RAM/disk capacity required to retain 99% valid demanded mass under observed workloads; compare LRU, LFU, size-aware, causal-weighted, and oracle plans.","ZS-CACHE-011,ZS-CACHE-012",V6: Causal Residency Budget Theorem,Every reported plan is independently checked for capacity/Q99 and optimizer time is separated from checker time.,Not implemented / audit required
ZS-BENCH-012,Benchmarks,P1,L1/L2/L3 forced-miss matrix,"Independently force provider-prefix miss, local-residency miss, logical invalidation, and combinations; measure rediscovery, transfer, rematerialization, model-visible tokens, and complete work.","ZS-CACHE-013,ZS-CACHE-014",V6: Three-layer cache factorization,Results distinguish all layers and never label L3 coldness or L1 eviction as L2 invalidity.,Not implemented / audit required
ZS-OPS-006,Operations,P0,Invisible steady-state budget,Measure and enforce default idle/background targets near <=0.1% CPU and <=500 MB resident memory; schedule heavier indexing explicitly and disclose alternate modes.,"ZS-OPS-001,ZS-METRIC-001",V6 operational premise,Long-duration idle and incremental-update tests stay within the configured budget or fail the release gate with measured evidence.,Not implemented / audit required
ZS-SEC-005,Security,P0,Cross-project cache isolation,"Separate semantic deduplication from authorization. Content-equivalent objects may share physical storage, but handles, reads, capabilities, and receipts are scoped to authorized tenants/projects.","ZS-SEC-002,ZS-CACHE-015",V6: Content reuse without authority reuse,Cross-project guessed roots or handles cannot reveal payloads or issue authority; authorized identical content can deduplicate.,Not implemented / audit required
ZS-CAP-006,Verified capability,P1,Capability lifetime and Q99 interaction,"Charge capability capture, proof, maintenance, residency, invalidation, and revalidation; prioritize only assets whose verified lifetime value and causal reuse justify cost.","ZS-CAP-001,ZS-CACHE-010,ZS-METRIC-001","V6: capability is an optional cacheable strategy, not free memory",Failed captures and stale assets remain in the ledger; low-value assets are retired without removing baseline strategy.,Not implemented / audit required
ZS-RELEASE-001,Operations,P0,Versioned cumulative claim authority,Ship the current correction/supersession table and reject runtime or documentation claims that cite a superseded formulation as current authority.,"ZS-KERNEL-007,ZS-BENCH-009",V6 lineage discipline,"Release checker flags Draft 4 rewrite formula, model-internal one-token framing, or ambiguous Q99 percentage when used without current scope.",Not implemented / audit required
