version,id,title,status,category,disposition,current_authority,source_path
Draft3,D3-P5,Certified Redundant-Work Closure,Proved / accounting,Pareto/Accounting,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-E1,Broad coding tasks have low adaptive decision depth,Empirical conjecture,Harness/Decision,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-E2,Relevant invalidated mass is usually below 1%,Empirical conjecture,Other/Research,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-E3,Compact decision views preserve or improve quality,Empirical conjecture,Harness/Decision,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft3,D3-E4,Complete-work Q99 is attainable on mature recurring work,Empirical target,Cache/Q99,Retained/strengthened by Draft5/V6,"current V6 papers/specs, then Draft5",archive/extracted/Draft3/THEOREM_LEDGER_DRAFT3.md
Draft5,D5-C01,Protected Decision-View Minimality,Proved in finite stated model,Harness/Decision,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-C02,Harness Decision-Boundary Compression,Conditional theorem,Harness/Decision,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-C03,Mechanical Critical-Path Compression,Conditional theorem,Other/Research,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-C04,Adaptive Decision-Round Lower Bound,Proved in finite communication model,Harness/Decision,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-C05,One-/Two-Call Normal Form,Proved in stated model,Harness/Decision,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-C06,Boundary-Q99 Threshold,Proved arithmetic,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-C07,Stable-Reference Recovery,Conditional theorem,Recovery/Nondegradation,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-C08,Harness Capability Superset,Conditional theorem,Harness/Decision,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-C09,Finite Signature-Quotient Synthesis,Proved in finite stated model,Foundations/Capacity,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-C10,Decision-View Certificate Soundness,Conditional theorem,Harness/Decision,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-C11,Stable-View Sufficiency,Proved in stated model,Other/Research,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-C12,Monotonicity under exact refinement,Proved,Effects/Authority,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-H01,Harness-Transport Factorization,Conditional theorem,Harness/Decision,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-H02,Cross-Harness Semantic Cache Reuse,Conditional theorem,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-H03,Decision-Preserving Private Composition,Conditional theorem,Harness/Decision,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-H04,Atomic No-Partial-Authority,Conditional theorem,Effects/Authority,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-H05,Contingent-Policy Call Compression,Conditional theorem,Harness/Decision,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q01,Retrospective Rewrite Cache-Break Characterization,Proved,Cache/Q99,Retained; exact corrected form remains current,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q02,Cache-Compaction Crossover,Proved,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q03,Horizon-Aware Rewrite Break-Even,Proved,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q04,First-Emission Prefix Immunity,Proved,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q05,Zero Self-Induced Historical Rewrite Cost,Proved under append-only premise,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q06,Stable-Capsule Admission,Proved in cost model,Other/Research,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q07,Two-Plane Cache Factorization,Proved in stated cost model,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q08,Provider-Miss Insulation,Proved in stated cost model,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q09,Provider-Controlled Residency Transposition,Conditional theorem,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q10,Causal Cache Soundness,Conditional theorem,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q11,Dependency-Complete Invalidation,Conditional theorem,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q12,Equality-Boundary Early Cutoff,Conditional theorem,Other/Research,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q13,Tree-Optimal Causal Materialization,Proved for finite trees,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q14,Capacity-Constrained Frontier Hardness,Proved by knapsack reduction,Pareto/Accounting,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q15,Optimization/authority separation,Proved consequence,Other/Research,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q16,Weighted Causal Q99,Proved identity,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q17,Adversarial Q99 Impossibility,Proved lower bound,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q18,Q99 Restoration Threshold,Proved,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q19,Causal Hazard Bound,Proved union bound,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q20,Branch Convergence Reuse,Conditional theorem,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q21,Zero-Failure Q99 Sample Bound,Proved under independent Bernoulli model,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q22,Expected Prefix-Survival Ordering,Proved under independent volatility and commutative blocks,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q23,Rendering Fragmentation Penalty,Proved,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q24,Uniform fragmentation,Proved,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q25,Finite Dependency-Refinement Convergence,Conditional theorem,Effects/Authority,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-Q26,Lease-Revocation Safety,Conditional theorem,Effects/Authority,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-P01,Same-Harness Capability Superset,Conditional theorem,Harness/Decision,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-P02,Campaign Break-Even,Proved,Pareto/Accounting,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-P03,Orthogonal Compression Composition,Proved under nonoverlapping-factor premise,Other/Research,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-P04,Multi-Resource Pareto Feasibility,Proved,Pareto/Accounting,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-P05,Robust Pareto Certificate,Conditional theorem,Pareto/Accounting,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-P06,Frontier Closure,Proved,Pareto/Accounting,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-P07,Reasoning and Effect Floor,Proved,Other/Research,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-P08,Disjoint Lower-Bound Composition,Proved under disjoint charging,Other/Research,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-P09,Certified Redundant-Gap Closure,Proved,Pareto/Accounting,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-P10,Baseline-Reserve Feasibility,Conditional theorem,Other/Research,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-P11,Compression-Dividend Reinvestment,Conditional theorem,Pareto/Accounting,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-P12,Capability-Asset Lifetime Value,Proved in geometric-hazard model,Pareto/Accounting,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-R01,One-/two-call coverage on common coding tasks,Empirical,Harness/Decision,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-R02,Windowed indexed Q99 on mature repositories,Empirical,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-R03,Provider-miss insulation,Empirical,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-R04,Dependency completeness in registered domains,Conditional systems premise,Other/Research,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-R05,Zero protected regression in evaluated scope,Empirical/statistical,Other/Research,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-R06,Positive strict-rescue rate,Empirical/statistical,Other/Research,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-R07,Boundary-Q99 model-visible interface reduction,Empirical,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-R08,Complete-work Q99,Empirical,Cache/Q99,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-R09,Positive capability-asset lifetime value,Empirical,Pareto/Accounting,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft5,D5-R10,Historical novelty of complete composition,Unresolved,Other/Research,Current detailed predecessor; retained unless V6 narrows/extends,"current V6 papers/specs, then Draft5",archive/extracted/Draft5/claims/CLAIM_LEDGER_DRAFT5.md
Draft4,D4-00-3_3,Protected Decision-View Minimality,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/00_RACC_Core_Draft4.pdf
Draft4,D4-00-4_1,Harness Decision-Boundary Compression,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/00_RACC_Core_Draft4.pdf
Draft4,D4-00-4_2,Tool-call compression,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/00_RACC_Core_Draft4.pdf
Draft4,D4-00-5_1,Adaptive Decision-Round Lower Bound,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/00_RACC_Core_Draft4.pdf
Draft4,D4-00-5_2,One-/Two-Call Normal Form,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/00_RACC_Core_Draft4.pdf
Draft4,D4-00-6_1,Snap-to-Edit Sufficiency,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/00_RACC_Core_Draft4.pdf
Draft4,D4-00-7_1,Stable-Reference Recovery,Historical theorem/corollary,Recovery/Nondegradation,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/00_RACC_Core_Draft4.pdf
Draft4,D4-00-8_1,Cache-Stable Interaction,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/00_RACC_Core_Draft4.pdf
Draft4,D4-00-10_1,Harness Capability Superset,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/00_RACC_Core_Draft4.pdf
Draft4,D4-00-10_2,Guarded Publication Nonregression,Historical theorem/corollary,Recovery/Nondegradation,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/00_RACC_Core_Draft4.pdf
Draft4,D4-00-12_1,Irreducible Decision Floor,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/00_RACC_Core_Draft4.pdf
Draft4,D4-01-1_2,Transport Invariance,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/01_RACC_Harness_Draft4.pdf
Draft4,D4-01-3_1,No-Mutation Failure,Historical theorem/corollary,Other/Research,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/01_RACC_Harness_Draft4.pdf
Draft4,D4-01-4_2,Private Composition Preservation,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/01_RACC_Harness_Draft4.pdf
Draft4,D4-01-5_1,Continuation Sufficiency,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/01_RACC_Harness_Draft4.pdf
Draft4,D4-01-7_1,Explanation Evidence Preservation,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/01_RACC_Harness_Draft4.pdf
Draft4,D4-01-8_1,Decision-Delimited Refactor,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/01_RACC_Harness_Draft4.pdf
Draft4,D4-01-9_2,Port Nonregression under Complete Observational Coverage,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/01_RACC_Harness_Draft4.pdf
Draft4,D4-01-10_1,Greenfield Strategy Preservation,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/01_RACC_Harness_Draft4.pdf
Draft4,D4-01-11_1,Verified Capability Compounding,Historical theorem/corollary,Recovery/Nondegradation,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/01_RACC_Harness_Draft4.pdf
Draft4,D4-02-3_2,Retrospective Rewrite Cache-Break Theorem,Historical theorem/corollary,Cache/Q99,Superseded by Draft5/V6 exact LCP characterization,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-3_3,Invalidated cached suffix mass,Historical theorem/corollary,Cache/Q99,Superseded by Draft5/V6 exact LCP characterization,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-3_4,Cache-Compaction Break-Even Theorem,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-5_1,First-Emission Prefix Preservation,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-5_2,Expansion without prefix destruction,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-6_1,Reference-First Amortization,Historical theorem/corollary,Other/Research,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-7_1,Causal Cache Soundness,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-8_1,Dependency-Complete Invalidation,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-8_3,Weighted Causal Q99,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-8_4,Causal Early-Cutoff Theorem,Historical theorem/corollary,Other/Research,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-8_5,Causal Q99 Impossibility under High-Impact Novelty,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-8_7,Bounded-invalidation sufficient condition,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-8_9,No Self-Induced Prefix Write Amplification,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-9_1,Sequential-to-Causal Topology Transposition,Historical theorem/corollary,Other/Research,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-10_1,Branch-Local Reuse,Historical theorem/corollary,Other/Research,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-11_1,Cache Factorization,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-12_1,Executable Causal-Frontier Sufficiency,Historical theorem/corollary,Pareto/Accounting,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-13_1,Provider-Miss Insulation,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-13_2,Forty-token interface example,Historical theorem/corollary,Other/Research,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-13_3,Two-Tier Nonincrease,Historical theorem/corollary,Other/Research,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-14_1,Provider-Controlled Residency Transposition,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-14_2,Idle-time independence,Historical theorem/corollary,Other/Research,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-14_3,Poisson durable-hit advantage,Historical theorem/corollary,Other/Research,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-14_4,Durable Q99 condition,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-02-15_1,No Project-Amnesia on Provider Miss,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/02_RACC_Q99_Causal_Caching_Draft4.pdf
Draft4,D4-03-2_1,Same-Harness Capability Superset,Historical theorem/corollary,Harness/Decision,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/03_ZeroStack_Pareto_Closure_Draft4.pdf
Draft4,D4-03-2_2,Guarded Protected Nonregression,Historical theorem/corollary,Recovery/Nondegradation,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/03_ZeroStack_Pareto_Closure_Draft4.pdf
Draft4,D4-03-2_3,Strict protected improvement,Historical theorem/corollary,Other/Research,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/03_ZeroStack_Pareto_Closure_Draft4.pdf
Draft4,D4-03-4_1,Per-Coordinate Hit-Rate Interval,Historical theorem/corollary,Other/Research,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/03_ZeroStack_Pareto_Closure_Draft4.pdf
Draft4,D4-03-4_2,Multi-Resource Pareto Feasibility,Historical theorem/corollary,Pareto/Accounting,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/03_ZeroStack_Pareto_Closure_Draft4.pdf
Draft4,D4-03-4_4,Impossible Q99 configuration,Historical theorem/corollary,Cache/Q99,Historical auxiliary result; retained when compatible,"current V6 papers/specs, then Draft5",archive/draft4/03_ZeroStack_Pareto_Closure_Draft4.pdf
